11951	17.7	3.9	1.6	chr14	106403099	106405380	-944160	+	L1M2c	LINE/L1	1	2334	-4455	3507990	0
201	15.6	0	0	chr14	106406392	106406423	-943117	+	(TTCA)n	Simple_repeat	1	32	0	3507991	0
516	27.9	12.2	7.6	chr14	106451425	106451721	-897819	+	L1MC	LINE/L1	5331	5647	-2138	3508032	0
270	0	0	0	chr14	106451722	106451751	-897789	+	(TTTTG)n	Simple_repeat	1	30	0	3508033	0
2229	8.6	0	0.4	chr14	106451752	106452030	-897510	C	AluSg7	SINE/Alu	-34	278	1	3508034	0
516	27.9	12.2	7.6	chr14	106452031	106452100	-897440	+	L1MC	LINE/L1	5648	5716	-2069	3508032	0
2309	11.1	0	1.3	chr14	106452171	106452486	-897054	+	AluSx1	SINE/Alu	1	312	0	3508035	0
2207	27.9	8.7	1.4	chr14	106469427	106470301	-879239	+	L1MC3	LINE/L1	6190	7128	-657	3508057	0
300	28	6.5	10	chr14	106470372	106470451	-879089	+	L1MC	LINE/L1	5084	5169	-977	3508058	0
234	0	0	0	chr14	106470452	106470477	-879063	+	(CA)n	Simple_repeat	2	27	0	3508059	0
652	29.1	7.1	5.8	chr14	106470478	106471036	-878504	+	L1MC	LINE/L1	5170	5732	-2263	3508058	0
1176	24.9	3.6	5.1	chr14	106477319	106477707	-871833	C	MLT1B	LTR/ERVL-MaLR	-6	384	2	3508067	0
30	0	0	0	chr14	106478940	106478969	-870571	+	AT_rich	Low_complexity	1	30	0	3508068	0
1930	14.1	0	0	chr14	106478970	106479246	-870294	C	AluSx	SINE/Alu	-25	287	11	3508069	0
3439	22.8	3.6	3.2	chr14	106491907	106493229	-856311	C	L1PB4	LINE/L1	0	6156	4814	3508087	0
23	3.3	0	0	chr14	106493644	106493673	-855867	+	AT_rich	Low_complexity	1	30	0	3508088	0
815	23	10.8	0.5	chr14	106494769	106494982	-854558	C	MER65A	LTR/ERV1	-209	236	1	3508089	0
2122	11.4	1.4	0.3	chr14	106500393	106500681	-848859	C	AluSx1	SINE/Alu	-20	292	1	3508100	0
871	31.8	5.1	0.9	chr14	106502092	106502739	-846801	+	L1MC3	LINE/L1	5930	6604	-1181	3508101	0
4263	18.2	5.2	1.2	chr14	106502744	106503804	-845736	C	L1MA2	LINE/L1	0	6304	5208	3508102	0
326	30.9	3.1	0.6	chr14	106510497	106510659	-838881	+	MLT2C1	LTR/ERVL	11	177	-220	3508111	0
254	32.3	3	2.4	chr14	106517168	106517332	-832208	+	MLT2C1	LTR/ERVL	11	176	-221	3508120	0
562	22.7	2	0	chr14	106538529	106538678	-810862	+	L1MC1	LINE/L1	6162	6314	-19	3508135	0
232	28.9	2.9	0	chr14	106538746	106538849	-810691	+	L1MC	LINE/L1	5608	5714	-2071	3508136	0
389	31.8	5.5	4.8	chr14	106551143	106551601	-797939	+	LTR16B2	LTR/ERVL	1	462	0	3508148	0
404	26	1.6	0	chr14	106551684	106551810	-797730	+	MLT2C1	LTR/ERVL	13	141	-256	3508149	0
300	25.8	2.3	8.4	chr14	106551713	106551843	-797697	+	MLT1E3	LTR/ERVL-MaLR	64	186	-438	3508150	0
183	24.5	7.1	5.4	chr14	106552124	106552179	-797361	C	L3b	LINE/CR1	-124	5108	5052	3508151	0
218	28.7	1.1	6.5	chr14	106552995	106553087	-796453	C	MIRc	SINE/MIR	-104	164	77	3508152	0
3798	20.4	3.2	3.4	chr14	106557296	106558632	-790908	C	L1PB4	LINE/L1	-4	6152	4814	3508160	0
250	24.6	1.4	0	chr14	106572012	106572080	-777460	+	MLT2C1	LTR/ERVL	11	80	-317	3508175	0
184	38.5	2.1	3.6	chr14	106573971	106574110	-775430	C	MIRc	SINE/MIR	-60	208	71	3508176	0
1107	22	2.9	1.6	chr14	106584877	106585190	-764350	C	MER65A	LTR/ERV1	-127	318	1	3508185	0
191	32.7	0	0	chr14	106599188	106599239	-750301	+	L3	LINE/CR1	462	513	-3586	3508200	0
2129	29.3	3.8	1.5	chr14	106600572	106601513	-748027	+	L1MC3	LINE/L1	6190	7153	-632	3508201	0
297	15.1	0	0	chr14	106601630	106601682	-747858	+	(TA)n	Simple_repeat	2	54	0	3508202	0
446	27.6	6.3	0	chr14	106601804	106602061	-747479	+	L1MC	LINE/L1	5267	5555	-2440	3508203	0
344	32.5	4.9	1.8	chr14	106602172	106602334	-747206	+	L1MC	LINE/L1	5550	5717	-2068	3508203	0
1106	31.6	11.1	2.4	chr14	106603294	106604058	-745482	+	L1M4b	LINE/L1	379	1210	-5657	3508204	0
2598	20.4	9.1	0.1	chr14	106608991	106609649	-739891	+	L1PA16	LINE/L1	5449	6166	0	3508212	0
269	26.2	3.5	5.9	chr14	106609660	106609829	-739711	+	L1ME2	LINE/L1	5997	6162	-2	3508208	0
30	4.5	0	0	chr14	106609850	106609893	-739647	+	AT_rich	Low_complexity	1	44	0	3508213	0
29	9	0	0	chr14	106610029	106610106	-739434	+	AT_rich	Low_complexity	1	78	0	3508214	0
678	24.2	2.2	1.6	chr14	106620543	106620727	-728813	C	MER65A	LTR/ERV1	-168	277	92	3508222	0
680	21.5	2.7	1.1	chr14	106620788	106620970	-728570	C	MER65B	LTR/ERV1	-345	186	1	3508223	0
2094	29.4	5	1.5	chr14	106629182	106630091	-719449	+	L1MC3	LINE/L1	6212	7153	-632	3508231	0
210	12.8	0	0	chr14	106630214	106630252	-719288	+	(CA)n	Simple_repeat	2	40	0	3508232	0
308	20.6	4.1	0	chr14	106630259	106630331	-719209	+	L1MC	LINE/L1	5170	5245	-901	3508233	0
470	32.9	0.2	0.2	chr14	106630490	106630794	-718746	+	L1MC	LINE/L1	5413	5717	-2278	3508233	0
2311	19.8	4.1	8.7	chr14	106640286	106640932	-708608	C	LTR6A	LTR/ERV1	0	564	1	3508242	0
652	22	2.1	0	chr14	106641012	106641152	-708388	+	L1MC1	LINE/L1	6167	6310	-23	3508243	0
